question1,question2,is_duplicate
"If the ability to record sound was developed before the motion picture, why were the first movies silent?","Why is everyone on Quora so obsessed with WWII, guns and bad things people do? It's all that comes up on my feed.",0

Which are the best smartphone security apps?,What is the recommended cellphone security apps?,1

How do I locate student housing in Milan?,How can I find student housing in Milan?,1

What is the advantage of no-load test in a transformer?,Why does a no-load current flow in a transformer and from where is it generated?,0

"Who is your role model, and why?",Who is your role model and why?,1

Who do you think portrayed Batman better: Christian Bale or Ben Affleck?,"No fanboys please, but who was the true batman, Christian Bale or Ben Affleck?",1

Should I take AP physics 1 and 2 before I take AP physics C?,What is AP Physics 1 and AP Physics 2 and AP Physics B and AP Physics C?,0

What is homosexuality and homosexual?,Is homosexuality okay?,0

Why is The Joker insane?,Who is the Joker?,0

How do I clean reclaimed unfinished wood floors?,How do you clean unfinished wood floors?,1

How do I shape my eyebrows?,What are some tips for having nice eyebrows?,0

What is a trillium number? What are its functions?,Is there a mathematical function that converts two numbers into one so that the two numbers can always be extracted again?,0

Which is your favourite song?,What is your favourite song right now?,1

What are some ways to get famous on Vine?,Can I still be famous on vine?,0

What is the Kony video all about?,Why did everyone forget about Joseph Kony so fast?,0

How can I choose a professional URL/account name/email address if my real name is super common?,What are the most common English names Chinese people choose?,0

How do ducks mate?,Why do ducks do this? [Warning: NSFW],0

What does it mean if someone says you have a strong personality?,How do I keep my personality strong in front of someone?,0

Which companies are using design thinking?,What are major companies that use design thinking internally?,0

Do you believe that Christopher Columbus was a Jew?,Was Christopher Columbus a Sephardic Jew? I read he was and heard he was from several sources? What do you say?,1

What is it like marrying a foreigner?,What is it like to marry a foreigner?,1

What is the difference between cable of alternating current and direct current?,What is the difference between the alternating current and direct current directions?,0

Who has more technical master's degrees than Michael Griffin?,How can I deal with a 2nd herpes outbreak?,0

How can we prove the Ramanujan-Sato series?,What was Ramanujan's IQ?,0

Is Algorithms: Design and Analysis Part 1 (Coursera) by Stanford University a good course to start learning Algorithms from the beginning?,What's your opinion of the Analysis of Algorithms course by Robert Sedgewick on Coursera?,0

How does hypnosis work or may help?,Does hypnosis work?,1

What is difference between cognition and intelligence?,"What is the difference between ""cognition"" and ""perception""?",0

Income Tax in India: I missed taking a copy of my Form 16 from my previous employer. Is it possible to recover the same from a tax website?,What deductions from self-employment income are not exempt from self-employment tax?,0

How important is SEO?,What is the importance of keyword in SEO?,1

Why do people hate Kejriwal more than Modi?,Why do some people love to hate Narendra Modi?,0

What is the expected cutoff for the KVPY 2016?,What do you think the cutoff of KVPY 2016 SA would be?,1

How do I unlock a USB port without administrative privileges?,How can I play movies in LG TV using a USB port?,0

"If Hillary were to become incapacitated, who would be the democratic nominee?","If Hillary becomes the democratic nominee, who would be her VP?",0

What is the one animal picture that best expresses friendship?,What is the one animal picture that best expresses anticipation?,0

